cuda
Couldn't read image /scratch/palle.a/AirKeyboard/data/hanco_all/HanCo/rgb/0400/cam5/00000011.jpg, got error cannot identify image file '/scratch/palle.a/AirKeyboard/data/hanco_all/HanCo/rgb/0400/cam5/00000011.jpg'
166 20
Epoch: 1/1000, Train Loss=0.9931820514, Val Loss=0.9931464141
Epoch: 29/1000, Train Loss=0.8550552387, Val Loss=0.8466174169
Epoch: 30/1000, Train Loss=0.847596844, Val Loss=0.8483783386
Epoch: 31/1000, Train Loss=0.8361516794, Val Loss=0.8359249126
Epoch: 32/1000, Train Loss=0.8287570687, Val Loss=0.8231237206
Epoch: 33/1000, Train Loss=0.8184080755, Val Loss=0.8177891103
Epoch: 34/1000, Train Loss=0.8108134772, Val Loss=0.8092042966
Epoch: 35/1000, Train Loss=0.8045569506, Val Loss=0.8003424243
Epoch: 36/1000, Train Loss=0.7961064554, Val Loss=0.8159834146
Epoch: 37/1000, Train Loss=0.7924894071, Val Loss=0.7968599363
Epoch: 38/1000, Train Loss=0.7846553104, Val Loss=0.7763901299
Epoch: 39/1000, Train Loss=0.7749251326, Val Loss=0.7703185948
Epoch: 40/1000, Train Loss=0.7745191829, Val Loss=0.782908185
Epoch: 41/1000, Train Loss=0.7636786092, Val Loss=0.7937563116
Epoch: 42/1000, Train Loss=0.7623172215, Val Loss=0.7719364654
Epoch: 43/1000, Train Loss=0.7565523024, Val Loss=0.7988588539
Epoch: 44/1000, Train Loss=0.751544756, Val Loss=0.7550998601
Epoch: 45/1000, Train Loss=0.74709916, Val Loss=0.7483869249
Epoch: 46/1000, Train Loss=0.7419127799, Val Loss=0.7480523424
Epoch: 47/1000, Train Loss=0.735535555, Val Loss=0.7609685226
Epoch: 48/1000, Train Loss=0.7319029616, Val Loss=0.7739108693
Epoch: 49/1000, Train Loss=0.728978794, Val Loss=0.7368543852
Epoch: 50/1000, Train Loss=0.7259425498, Val Loss=0.7413649288
Epoch: 51/1000, Train Loss=0.7192638996, Val Loss=0.7335862788
Epoch: 52/1000, Train Loss=0.7206480293, Val Loss=0.7279154604
Epoch: 53/1000, Train Loss=0.7136981803, Val Loss=0.7392197251
Epoch: 54/1000, Train Loss=0.7128186506, Val Loss=0.7107142969
Epoch: 55/1000, Train Loss=0.7061600416, Val Loss=0.7287114208
Epoch: 56/1000, Train Loss=0.7053241251, Val Loss=0.7071275494
Epoch: 57/1000, Train Loss=0.7016602497, Val Loss=0.7076940591
Epoch: 58/1000, Train Loss=0.6934595669, Val Loss=0.7151141221
Epoch: 59/1000, Train Loss=0.6903025461, Val Loss=0.7050887021
Epoch: 60/1000, Train Loss=0.6883589111, Val Loss=0.7294687629
Epoch: 61/1000, Train Loss=0.6834802043, Val Loss=0.6928479942
Epoch: 62/1000, Train Loss=0.6846574627, Val Loss=0.6988075701
Epoch: 63/1000, Train Loss=0.6809221471, Val Loss=0.6974199252
Epoch: 64/1000, Train Loss=0.6743651991, Val Loss=0.6949702989
Epoch: 65/1000, Train Loss=0.6678185253, Val Loss=0.6986361525
Epoch: 66/1000, Train Loss=0.6706022573, Val Loss=0.6853495999
Epoch: 67/1000, Train Loss=0.6662021127, Val Loss=0.7137719122
Epoch: 68/1000, Train Loss=0.6618380325, Val Loss=0.694455629
Epoch: 69/1000, Train Loss=0.6609887796, Val Loss=0.6760847189
Epoch: 70/1000, Train Loss=0.6550492457, Val Loss=0.6804996133
Epoch: 71/1000, Train Loss=0.6586233974, Val Loss=0.689523193
Epoch: 72/1000, Train Loss=0.6499993264, Val Loss=0.6814071048
Epoch: 73/1000, Train Loss=0.6509201036, Val Loss=0.6722526767
Epoch: 74/1000, Train Loss=0.6475013541, Val Loss=0.6989668933
Epoch: 75/1000, Train Loss=0.6448196255, Val Loss=0.6822298169
Epoch: 76/1000, Train Loss=0.6425349876, Val Loss=0.699410043
Epoch: 77/1000, Train Loss=0.6412105327, Val Loss=0.6701866659
Epoch: 78/1000, Train Loss=0.6411892246, Val Loss=0.6781771725
Epoch: 79/1000, Train Loss=0.6357587377, Val Loss=0.6661010114
Epoch: 80/1000, Train Loss=0.63156756, Val Loss=0.710013498
Epoch: 81/1000, Train Loss=0.6320051563, Val Loss=0.7000470812
Epoch: 82/1000, Train Loss=0.6297047594, Val Loss=0.665381139
Epoch: 83/1000, Train Loss=0.6244658173, Val Loss=0.6815388203
Epoch: 84/1000, Train Loss=0.6235038007, Val Loss=0.6771378355
Epoch: 85/1000, Train Loss=0.6196684802, Val Loss=0.6520572847
Epoch: 86/1000, Train Loss=0.6200795092, Val Loss=0.6644646363
Epoch: 87/1000, Train Loss=0.6130688237, Val Loss=0.6513570547
Epoch: 88/1000, Train Loss=0.6149460136, Val Loss=0.6696381298
Epoch: 89/1000, Train Loss=0.6104207027, Val Loss=0.6631288312
Epoch: 90/1000, Train Loss=0.6081609165, Val Loss=0.6661856771
Epoch: 91/1000, Train Loss=0.6069956924, Val Loss=0.671986672
Epoch: 92/1000, Train Loss=0.6054117048, Val Loss=0.642637903
Epoch: 93/1000, Train Loss=0.6057942428, Val Loss=0.6628991203
Epoch: 94/1000, Train Loss=0.6004533137, Val Loss=0.6473876563
Epoch: 95/1000, Train Loss=0.5932599587, Val Loss=0.6467818347
Epoch: 96/1000, Train Loss=0.6028001297, Val Loss=0.6655711477
Epoch: 97/1000, Train Loss=0.5927601211, Val Loss=0.6385537061
Epoch: 98/1000, Train Loss=0.5944915239, Val Loss=0.6357974735
Epoch: 99/1000, Train Loss=0.592709269, Val Loss=0.6316899766
Epoch: 100/1000, Train Loss=0.5868029898, Val Loss=0.6465190161
Epoch: 101/1000, Train Loss=0.5837468119, Val Loss=0.6540626613
Epoch: 102/1000, Train Loss=0.5845164166, Val Loss=0.6613569422
Epoch: 103/1000, Train Loss=0.5853145052, Val Loss=0.6519681053
Epoch: 104/1000, Train Loss=0.5840471551, Val Loss=0.6441780383
Epoch: 105/1000, Train Loss=0.5791296153, Val Loss=0.6423356858
Epoch: 106/1000, Train Loss=0.579147603, Val Loss=0.6340414177
Epoch: 107/1000, Train Loss=0.5723083054, Val Loss=0.646827416
Epoch: 108/1000, Train Loss=0.5740545345, Val Loss=0.6524730596
Epoch: 109/1000, Train Loss=0.5740049002, Val Loss=0.6273918802
Epoch: 110/1000, Train Loss=0.5701089618, Val Loss=0.6415213455
Epoch: 111/1000, Train Loss=0.5614150202, Val Loss=0.6348669692
Epoch: 112/1000, Train Loss=0.5679416563, Val Loss=0.6235038259
Epoch: 113/1000, Train Loss=0.5614611471, Val Loss=0.6300159693
Epoch: 114/1000, Train Loss=0.5640370893, Val Loss=0.6504768892
Epoch: 115/1000, Train Loss=0.5625173134, Val Loss=0.6413353194
Epoch: 116/1000, Train Loss=0.5569459293, Val Loss=0.6371904883
Epoch: 117/1000, Train Loss=0.5558970512, Val Loss=0.6262208386
Epoch: 118/1000, Train Loss=0.5572237057, Val Loss=0.6275846525
Epoch: 119/1000, Train Loss=0.5579019434, Val Loss=0.6236459504
Epoch: 120/1000, Train Loss=0.5513060923, Val Loss=0.6478141817
Epoch: 121/1000, Train Loss=0.549827287, Val Loss=0.6248464801
Epoch: 122/1000, Train Loss=0.5457544081, Val Loss=0.6384713758
Epoch: 123/1000, Train Loss=0.5508692194, Val Loss=0.6393920021
Epoch: 124/1000, Train Loss=0.5484729713, Val Loss=0.651797934
Epoch: 125/1000, Train Loss=0.5381011682, Val Loss=0.626621268
Epoch: 126/1000, Train Loss=0.5409789319, Val Loss=0.6203886433
Epoch: 127/1000, Train Loss=0.5354173405, Val Loss=0.6316689361
Epoch: 128/1000, Train Loss=0.5371991373, Val Loss=0.6244066412
Epoch: 129/1000, Train Loss=0.5361021757, Val Loss=0.6385165453
Epoch: 130/1000, Train Loss=0.5347772568, Val Loss=0.6223548001
Epoch: 131/1000, Train Loss=0.5282752783, Val Loss=0.6344041608
Epoch: 132/1000, Train Loss=0.5331490005, Val Loss=0.622566169
Epoch: 133/1000, Train Loss=0.5322837292, Val Loss=0.6341947371
Epoch: 134/1000, Train Loss=0.5296682973, Val Loss=0.6336553368
Epoch: 135/1000, Train Loss=0.5275372349, Val Loss=0.6163761074
Epoch: 136/1000, Train Loss=0.5285236356, Val Loss=0.6256528117
Epoch: 137/1000, Train Loss=0.5247419266, Val Loss=0.612543377
Epoch: 138/1000, Train Loss=0.5275213917, Val Loss=0.6251751997
Epoch: 139/1000, Train Loss=0.5240628252, Val Loss=0.6321528066
Epoch: 140/1000, Train Loss=0.5201622107, Val Loss=0.6473133293
Epoch: 141/1000, Train Loss=0.5176382123, Val Loss=0.6203873808
Epoch: 142/1000, Train Loss=0.5142069775, Val Loss=0.615440412
Epoch: 143/1000, Train Loss=0.5160886213, Val Loss=0.6136158596
Epoch: 144/1000, Train Loss=0.5082204809, Val Loss=0.6457676996
Epoch: 145/1000, Train Loss=0.5150024073, Val Loss=0.6181440624
Epoch: 146/1000, Train Loss=0.5112206702, Val Loss=0.6066130887
Epoch: 147/1000, Train Loss=0.5113366386, Val Loss=0.6350853335
Epoch: 148/1000, Train Loss=0.5113329712, Val Loss=0.6224262389
Epoch: 149/1000, Train Loss=0.5077456446, Val Loss=0.6236901175
Epoch: 150/1000, Train Loss=0.4996519942, Val Loss=0.6160584146
Epoch: 151/1000, Train Loss=0.5037835673, Val Loss=0.6142877395
Epoch: 152/1000, Train Loss=0.5023598122, Val Loss=0.6445969506
Epoch: 153/1000, Train Loss=0.5063980479, Val Loss=0.6294171864
Epoch: 154/1000, Train Loss=0.5025288767, Val Loss=0.6289495067
Epoch: 155/1000, Train Loss=0.504618072, Val Loss=0.6408342882
Epoch: 156/1000, Train Loss=0.4983520648, Val Loss=0.6185147112
Epoch: 157/1000, Train Loss=0.4949422864, Val Loss=0.6392570626
Epoch: 158/1000, Train Loss=0.4939317879, Val Loss=0.609433716
Epoch: 159/1000, Train Loss=0.4951237218, Val Loss=0.6120913029
Epoch: 160/1000, Train Loss=0.4954698694, Val Loss=0.6363626285
Epoch: 161/1000, Train Loss=0.4971845454, Val Loss=0.6155078465
Epoch: 162/1000, Train Loss=0.4895002725, Val Loss=0.627869205
Early Stopping
